id; nazwa; sezon_rozgrywek; gole_strzelone_w_domu; gole_strzelone_na_wyjezdzie; gole_stracone_w_domu; gole_stracone_na_wyjezdzie; zolte_kartki; czerwone_kartki; mecze_domowe; mecze_na_wyjezdzie; srednia_goli_straconych_w_domu; srednia_goli_strzelonych_w_domu; srednia_goli_straconych_na_wyjezdzie; srednia_goli_strzelonych_na_wyjezdzie; wygrane_w_domu; wygrane_na_wyjezdzie; przegrane_w_domu; przegrane_na_wyjezdzie; remisy_w_domu; remisy_na_wyjezdzie; liga
512; Frosinone; 2023; 25.0; 15.0; 25.0; 37.0; 59.0; 1.0; 16.0; 16.0; 1.6; 25.0; 2.3; 0.9; 6.0; 0.0; 6.0; 11.0; 4.0; 5.0; wloska
511; Empoli; 2023; 13.0; 13.0; 13.0; 26.0; 73.0; 0.0; 17.0; 16.0; 1.3; 13.0; 1.6; 0.8; 4.0; 4.0; 9.0; 9.0; 4.0; 3.0; wloska
505; Inter; 2023; 41.0; 36.0; 41.0; 7.0; 43.0; 0.0; 17.0; 15.0; 0.6; 41.0; 0.5; 2.4; 13.0; 13.0; 1.0; 0.0; 3.0; 2.0; wloska
504; Verona; 2023; 18.0; 13.0; 18.0; 23.0; 74.0; 5.0; 16.0; 17.0; 1.3; 18.0; 1.4; 0.8; 5.0; 2.0; 6.0; 10.0; 5.0; 5.0; wloska
503; Torino; 2023; 15.0; 16.0; 15.0; 21.0; 67.0; 1.0; 16.0; 16.0; 0.5; 15.0; 1.3; 1.0; 7.0; 4.0; 2.0; 7.0; 7.0; 5.0; wloska
502; Fiorentina; 2023; 28.0; 15.0; 28.0; 18.0; 65.0; 0.0; 16.0; 15.0; 1.1; 28.0; 1.2; 1.0; 8.0; 4.0; 4.0; 7.0; 4.0; 4.0; wloska
500; Bologna; 2023; 29.0; 16.0; 29.0; 17.0; 74.0; 1.0; 17.0; 15.0; 0.5; 29.0; 1.1; 1.1; 12.0; 4.0; 2.0; 3.0; 3.0; 8.0; wloska
499; Atalanta; 2023; 33.0; 24.0; 33.0; 24.0; 66.0; 1.0; 15.0; 16.0; 0.8; 33.0; 1.5; 1.5; 10.0; 5.0; 3.0; 7.0; 2.0; 4.0; wloska
497; AS Roma; 2023; 35.0; 21.0; 35.0; 20.0; 82.0; 2.0; 16.0; 15.0; 0.9; 35.0; 1.3; 1.4; 11.0; 5.0; 2.0; 6.0; 3.0; 4.0; wloska
496; Juventus; 2023; 23.0; 24.0; 23.0; 16.0; 77.0; 2.0; 16.0; 17.0; 0.6; 23.0; 0.9; 1.4; 10.0; 8.0; 1.0; 4.0; 5.0; 5.0; wloska
495; Genoa; 2023; 20.0; 15.0; 20.0; 19.0; 74.0; 3.0; 16.0; 17.0; 1.3; 20.0; 1.1; 0.9; 5.0; 4.0; 5.0; 7.0; 6.0; 6.0; wloska
