id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
8589; Benson; Manuel Hedilazio; 44; 2023; 27.0; 178.0; 68.0; Belgium; 7.0; 91.0; Attacker; 6.485714; 4.0; 2.0; 0.0; 41.0; 5.0; 1.0; 0.0; 24.0; 10.0; 3.0; 0.0; 10.0; 4.0; 3.0; 1.0; 0.0; 0.0; false
110; Han-Noah; Massengo; 44; 2023; 23.0; 178.0; 0.0; France; 3.0; 13.0; Midfielder; 6.45; 0.0; 0.0; 0.0; 9.0; 1.0; 0.0; 0.0; 2.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
19169; Jay Enrique; Rodríguez; 44; 2023; 35.0; 185.0; 84.0; England; 20.0; 796.0; Attacker; 6.615789; 16.0; 8.0; 2.0; 207.0; 7.0; 4.0; 1.0; 116.0; 47.0; 14.0; 1.0; 9.0; 6.0; 6.0; 18.0; 0.0; 0.0; false
278079; Aaron James; Ramsey; 44; 2023; 21.0; 181.0; 0.0; England; 14.0; 525.0; Midfielder; 6.484615; 5.0; 2.0; 0.0; 146.0; 8.0; 1.0; 0.0; 63.0; 27.0; 17.0; 1.0; 9.0; 3.0; 3.0; 7.0; 1.0; 0.0; false
19827; Joshua Jon; Cullen; 44; 2023; 28.0; 175.0; 70.0; Republic of Ireland; 20.0; 1619.0; Midfielder; 7.105; 5.0; 3.0; 1.0; 1050.0; 45.0; 19.0; 2.0; 158.0; 88.0; 28.0; 12.0; 6.0; 3.0; 41.0; 18.0; 7.0; 0.0; false
1934; Sander Gard; Bolin Berge; 44; 2023; 26.0; 195.0; 96.0; Norway; 32.0; 2558.0; Midfielder; 6.878125; 15.0; 3.0; 1.0; 1222.0; 33.0; 20.0; 1.0; 294.0; 161.0; 65.0; 20.0; 28.0; 17.0; 18.0; 36.0; 8.0; 0.0; false
19268; Joshua; Brownhill; 44; 2023; 29.0; 180.0; 69.0; England; 30.0; 2116.0; Midfielder; 6.943333; 22.0; 11.0; 4.0; 957.0; 26.0; 30.0; 2.0; 210.0; 116.0; 55.0; 33.0; 13.0; 7.0; 24.0; 36.0; 3.0; 1.0; false
18948; Nathan Daniel Jerome; Redmond; 44; 2023; 30.0; 173.0; 69.0; England; 12.0; 130.0; Midfielder; 6.5; 0.0; 0.0; 0.0; 68.0; 4.0; 4.0; 0.0; 21.0; 9.0; 2.0; 0.0; 6.0; 4.0; 2.0; 4.0; 1.0; 0.0; false
1411; Hannes; Delcroix; 44; 2023; 25.0; 185.0; 78.0; Belgium; 12.0; 583.0; Defender; 6.481818; 4.0; 2.0; 0.0; 318.0; 23.0; 4.0; 0.0; 42.0; 21.0; 10.0; 9.0; 5.0; 3.0; 0.0; 6.0; 2.0; 0.0; false
18922; Jack Frank; Porteous Cork; 44; 2023; 35.0; 183.0; 70.0; England; 3.0; 16.0; Midfielder; 6.5; 0.0; 0.0; 0.0; 23.0; 5.0; 0.0; 0.0; 9.0; 3.0; 2.0; 0.0; 0.0; 0.0; 1.0; 2.0; 0.0; 0.0; false
2790; Jóhann Berg; Guðmunds­son; 44; 2023; 34.0; 186.0; 78.0; Iceland; 22.0; 1079.0; Midfielder; 6.83; 8.0; 3.0; 0.0; 402.0; 14.0; 32.0; 2.0; 102.0; 48.0; 13.0; 15.0; 10.0; 4.0; 18.0; 8.0; 2.0; 0.0; false
323449; Ameen; Al Dakhil; 44; 2023; 22.0; 187.0; 70.0; Belgium; 13.0; 1056.0; Defender; 6.515384; 5.0; 3.0; 1.0; 598.0; 39.0; 2.0; 0.0; 79.0; 33.0; 12.0; 12.0; 5.0; 3.0; 4.0; 6.0; 1.0; 0.0; false
8661; Victor Alexander; da Silva; 44; 2023; 25.0; 175.0; 72.0; Brazil; 27.0; 1952.0; Defender; 6.592592; 9.0; 2.0; 0.0; 659.0; 18.0; 8.0; 0.0; 237.0; 118.0; 57.0; 11.0; 43.0; 24.0; 22.0; 21.0; 1.0; 0.0; false
47903; Hjalmar; Ekdal; 44; 2023; 26.0; 188.0; 77.0; Sweden; 7.0; 394.0; Defender; 6.7; 2.0; 1.0; 0.0; 187.0; 27.0; 1.0; 0.0; 30.0; 11.0; 4.0; 6.0; 2.0; 1.0; 2.0; 7.0; 2.0; 0.0; false
25628; Louis Jordan; Beyer; 44; 2023; 24.0; 187.0; 80.0; Germany; 15.0; 1239.0; Defender; 6.9; 2.0; 0.0; 0.0; 855.0; 50.0; 3.0; 1.0; 123.0; 73.0; 35.0; 16.0; 6.0; 4.0; 6.0; 11.0; 6.0; 0.0; false
18918; Charles James; Taylor; 44; 2023; 31.0; 176.0; 70.0; England; 25.0; 2076.0; Defender; 6.748; 6.0; 1.0; 1.0; 944.0; 29.0; 11.0; 1.0; 183.0; 97.0; 32.0; 18.0; 15.0; 9.0; 16.0; 19.0; 7.0; 0.0; false
17597; Dara Joseph; O'Shea; 44; 2023; 25.0; 188.0; 0.0; Republic of Ireland; 28.0; 2444.0; Defender; 6.825; 13.0; 4.0; 2.0; 1458.0; 41.0; 12.0; 4.0; 255.0; 148.0; 29.0; 25.0; 2.0; 1.0; 13.0; 32.0; 5.0; 1.0; false
616; Arijanet; Murić; 44; 2023; 26.0; 198.0; 81.0; Kosovo; 5.0; 450.0; Goalkeeper; 7.74; 0.0; 0.0; 0.0; 260.0; 36.0; 1.0; 0.0; 6.0; 6.0; 1.0; 0.0; 0.0; 0.0; 3.0; 0.0; 0.0; 0.0; false
162489; James Harrington; Trafford; 44; 2023; 22.0; 197.0; 83.0; England; 28.0; 2520.0; Goalkeeper; 6.953571; 0.0; 0.0; 0.0; 1368.0; 30.0; 0.0; 0.0; 26.0; 23.0; 2.0; 1.0; 2.0; 2.0; 5.0; 0.0; 2.0; 0.0; false
18957; Michael; Oluwadurotimi Obafemi; 44; 2023; 24.0; 169.0; 71.0; Republic of Ireland; 2.0; 19.0; Attacker; 6.6; 2.0; 0.0; 0.0; 5.0; 2.0; 0.0; 0.0; 5.0; 3.0; 0.0; 0.0; 3.0; 3.0; 0.0; 0.0; 0.0; 0.0; false
129169; Anass; Zaroury; 44; 2023; 24.0; 176.0; 70.0; Morocco; 6.0; 149.0; Attacker; 6.433333; 2.0; 1.0; 0.0; 59.0; 6.0; 2.0; 0.0; 20.0; 6.0; 1.0; 0.0; 5.0; 2.0; 3.0; 4.0; 0.0; 1.0; false
19331; Connor Richard John; Roberts; 44; 2023; 29.0; 175.0; 72.0; Wales; 14.0; 819.0; Defender; 6.428571; 0.0; 0.0; 0.0; 409.0; 26.0; 7.0; 1.0; 51.0; 27.0; 12.0; 4.0; 2.0; 0.0; 9.0; 5.0; 4.0; 0.0; false
727; Reiss Luke; Nelson; 42; 2023; 25.0; 175.0; 71.0; England; 15.0; 255.0; Attacker; 6.607142; 2.0; 1.0; 0.0; 127.0; 8.0; 5.0; 0.0; 38.0; 16.0; 9.0; 1.0; 7.0; 1.0; 6.0; 5.0; 1.0; 0.0; false
1946; Leandro; Trossard; 42; 2023; 30.0; 172.0; 61.0; Belgium; 28.0; 1215.0; Attacker; 6.996428; 35.0; 18.0; 8.0; 472.0; 13.0; 20.0; 1.0; 129.0; 60.0; 18.0; 6.0; 35.0; 21.0; 16.0; 11.0; 0.0; 0.0; false
1468; Edward; Keddar Nketiah; 42; 2023; 25.0; 175.0; 72.0; England; 27.0; 1072.0; Attacker; 6.85; 30.0; 12.0; 5.0; 209.0; 6.0; 9.0; 2.0; 159.0; 71.0; 12.0; 4.0; 23.0; 8.0; 28.0; 24.0; 3.0; 0.0; false
127769; Gabriel Teodoro; Martinelli Silva; 42; 2023; 23.0; 178.0; 75.0; Brazil; 29.0; 1843.0; Attacker; 7.193103; 32.0; 17.0; 6.0; 734.0; 21.0; 40.0; 4.0; 245.0; 96.0; 24.0; 5.0; 92.0; 36.0; 22.0; 21.0; 1.0; 0.0; false
643; Gabriel Fernando; de Jesus; 42; 2023; 27.0; 175.0; 73.0; Brazil; 22.0; 1359.0; Attacker; 7.20909; 38.0; 19.0; 4.0; 430.0; 15.0; 26.0; 3.0; 229.0; 98.0; 22.0; 10.0; 60.0; 33.0; 29.0; 25.0; 6.0; 0.0; false
1460; Bukayo Ayoyinka Temidayo; Saka; 42; 2023; 23.0; 178.0; 72.0; England; 30.0; 2507.0; Attacker; 7.676666; 54.0; 29.0; 14.0; 1136.0; 31.0; 75.0; 7.0; 349.0; 173.0; 57.0; 10.0; 87.0; 40.0; 57.0; 32.0; 3.0; 0.0; false
313236; Ethan Chidiebere; Nwaneri; 42; 2023; 17.0; 165.0; 0.0; England; 1.0; 13.0; Midfielder; 6.9; 0.0; 0.0; 0.0; 18.0; 15.0; 1.0; 0.0; 3.0; 2.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; false
2937; Declan; Rice; 42; 2023; 25.0; 185.0; 84.0; England; 32.0; 2692.0; Midfielder; 7.396875; 25.0; 14.0; 6.0; 1960.0; 55.0; 33.0; 5.0; 246.0; 129.0; 64.0; 37.0; 30.0; 17.0; 12.0; 26.0; 3.0; 0.0; false
49; Thomas; Teye Partey; 42; 2023; 31.0; 185.0; 77.0; Ghana; 8.0; 367.0; Midfielder; 6.985714; 2.0; 1.0; 0.0; 357.0; 46.0; 3.0; 0.0; 31.0; 19.0; 7.0; 5.0; 8.0; 6.0; 3.0; 1.0; 0.0; 0.0; false
641; Oleksandr; Zinchenko; 42; 2023; 28.0; 175.0; 64.0; Ukraine; 25.0; 1678.0; Defender; 7.156; 7.0; 3.0; 1.0; 1358.0; 48.0; 28.0; 2.0; 151.0; 92.0; 50.0; 19.0; 12.0; 7.0; 9.0; 7.0; 2.0; 0.0; false
978; Kai Lukas; Havertz; 42; 2023; 25.0; 193.0; 83.0; Germany; 31.0; 2117.0; Midfielder; 7.074193; 37.0; 18.0; 9.0; 749.0; 20.0; 34.0; 5.0; 323.0; 148.0; 27.0; 15.0; 30.0; 13.0; 37.0; 41.0; 9.0; 0.0; false
61431; Jakub Piotr; Kiwior; 42; 2023; 24.0; 189.0; 75.0; Poland; 17.0; 850.0; Defender; 6.928571; 4.0; 3.0; 1.0; 509.0; 29.0; 6.0; 3.0; 58.0; 33.0; 19.0; 6.0; 2.0; 2.0; 1.0; 10.0; 1.0; 0.0; false
1452; Mohamed Naser; Elsayed Elneny; 42; 2023; 32.0; 179.0; 72.0; Egypt; 3.0; 25.0; Midfielder; 7.0; 2.0; 1.0; 0.0; 40.0; 13.0; 0.0; 0.0; 4.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; false
41725; Fábio Daniel; Ferreira Vieira; 42; 2023; 24.0; 170.0; 58.0; Portugal; 10.0; 283.0; Midfielder; 6.988888; 5.0; 2.0; 1.0; 127.0; 11.0; 4.0; 2.0; 31.0; 16.0; 3.0; 2.0; 7.0; 2.0; 10.0; 7.0; 0.0; 1.0; false
1161; Emile; Smith Rowe; 42; 2023; 24.0; 182.0; 79.0; England; 12.0; 325.0; Midfielder; 6.727272; 9.0; 7.0; 0.0; 196.0; 14.0; 4.0; 1.0; 30.0; 11.0; 4.0; 3.0; 6.0; 3.0; 1.0; 5.0; 0.0; 0.0; false
37127; Martin; Ødegaard; 42; 2023; 26.0; 178.0; 68.0; Norway; 29.0; 2565.0; Midfielder; 7.631034; 38.0; 20.0; 7.0; 1617.0; 48.0; 80.0; 6.0; 243.0; 98.0; 40.0; 12.0; 55.0; 29.0; 26.0; 27.0; 2.0; 0.0; false
2289; Jorge Luiz; Frello Filho; 42; 2023; 33.0; 180.0; 65.0; Italy; 22.0; 896.0; Midfielder; 6.938888; 2.0; 0.0; 0.0; 747.0; 32.0; 10.0; 2.0; 79.0; 44.0; 21.0; 11.0; 5.0; 2.0; 14.0; 9.0; 1.0; 0.0; false
2597; Takehiro; Tomiyasu; 42; 2023; 26.0; 187.0; 84.0; Japan; 17.0; 709.0; Defender; 6.835294; 6.0; 2.0; 1.0; 461.0; 23.0; 2.0; 1.0; 61.0; 33.0; 12.0; 10.0; 8.0; 4.0; 4.0; 7.0; 1.0; 0.0; false
22090; William Alain André Gabriel; Saliba; 42; 2023; 23.0; 192.0; 92.0; France; 32.0; 2880.0; Defender; 7.003125; 4.0; 3.0; 2.0; 2427.0; 70.0; 5.0; 1.0; 197.0; 116.0; 34.0; 22.0; 10.0; 6.0; 13.0; 18.0; 4.0; 0.0; false
190; Cédric Ricardo; Alves Soares; 42; 2023; 33.0; 172.0; 67.0; Portugal; 3.0; 59.0; Defender; 6.7; 0.0; 0.0; 0.0; 59.0; 18.0; 0.0; 0.0; 2.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; false
19465; David; Raya Martin; 42; 2023; 29.0; 183.0; 80.0; Spain; 26.0; 2340.0; Goalkeeper; 6.842307; 0.0; 0.0; 0.0; 747.0; 20.0; 0.0; 0.0; 9.0; 8.0; 1.0; 0.0; 0.0; 0.0; 3.0; 0.0; 1.0; 0.0; false
20355; Aaron Christopher; Ramsdale; 42; 2023; 26.0; 188.0; 88.0; England; 6.0; 540.0; Goalkeeper; 6.616666; 0.0; 0.0; 0.0; 158.0; 17.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; false
38746; Jurriën David Norman; Timber; 42; 2023; 23.0; 179.0; 79.0; Netherlands; 1.0; 50.0; Defender; 6.7; 0.0; 0.0; 0.0; 45.0; 40.0; 0.0; 0.0; 4.0; 2.0; 1.0; 0.0; 0.0; 0.0; 0.0; 2.0; 1.0; 0.0; false
19959; Benjamin William; White; 42; 2023; 27.0; 186.0; 76.0; England; 31.0; 2475.0; Defender; 7.153333; 7.0; 6.0; 2.0; 1588.0; 45.0; 27.0; 4.0; 151.0; 85.0; 39.0; 27.0; 17.0; 7.0; 10.0; 16.0; 7.0; 0.0; false
22224; Gabriel; dos Santos Magalhães; 42; 2023; 27.0; 190.0; 78.0; Brazil; 30.0; 2535.0; Defender; 7.213333; 23.0; 10.0; 4.0; 1857.0; 54.0; 3.0; 0.0; 229.0; 139.0; 38.0; 24.0; 3.0; 1.0; 28.0; 28.0; 4.0; 0.0; false
284; Joseph Dave; Gomez; 40; 2023; 27.0; 188.0; 77.0; England; 27.0; 1633.0; Defender; 6.988461; 12.0; 1.0; 0.0; 1068.0; 34.0; 22.0; 1.0; 192.0; 102.0; 43.0; 15.0; 26.0; 14.0; 15.0; 26.0; 5.0; 0.0; false
314661; Jayden; Danns; 40; 2023; 18.0; 0.0; 0.0; England; 2.0; 7.0; Attacker; 6.45; 0.0; 0.0; 0.0; 7.0; 2.0; 0.0; 0.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.0; 1.0; 0.0; false
343576; Ben; Gannon Doak; 40; 2023; 19.0; 0.0; 0.0; Scotland; 1.0; 13.0; Attacker; 6.2; 0.0; 0.0; 0.0; 4.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
51617; Darwin Gabriel; Núñez Ribeiro; 40; 2023; 25.0; 187.0; 81.0; Uruguay; 30.0; 1881.0; Attacker; 7.09; 83.0; 43.0; 11.0; 437.0; 10.0; 30.0; 8.0; 215.0; 83.0; 21.0; 2.0; 35.0; 15.0; 14.0; 24.0; 8.0; 0.0; false
2489; Luis Fernando; Díaz Marulanda; 40; 2023; 27.0; 178.0; 65.0; Colombia; 31.0; 2180.0; Attacker; 7.167741; 54.0; 27.0; 8.0; 824.0; 22.0; 46.0; 4.0; 348.0; 137.0; 26.0; 3.0; 103.0; 53.0; 35.0; 43.0; 2.0; 0.0; false
247; Cody Mathès; Gakpo; 40; 2023; 25.0; 193.0; 76.0; Netherlands; 30.0; 1223.0; Attacker; 6.976666; 34.0; 17.0; 6.0; 382.0; 9.0; 18.0; 3.0; 189.0; 95.0; 19.0; 8.0; 37.0; 24.0; 29.0; 23.0; 1.0; 0.0; false
2678; Diogo José; Teixeira da Silva; 40; 2023; 28.0; 178.0; 68.0; Portugal; 20.0; 1076.0; Attacker; 7.255; 27.0; 18.0; 9.0; 366.0; 13.0; 21.0; 3.0; 183.0; 74.0; 23.0; 6.0; 32.0; 14.0; 20.0; 27.0; 2.0; 0.0; false
306; Mohamed; Salah Hamed Mahrous Ghaly; 40; 2023; 32.0; 175.0; 71.0; Egypt; 26.0; 2149.0; Attacker; 7.680769; 75.0; 45.0; 17.0; 812.0; 23.0; 62.0; 9.0; 191.0; 63.0; 13.0; 2.0; 69.0; 24.0; 21.0; 8.0; 2.0; 0.0; false
287109; James; McConnell; 40; 2023; 20.0; 0.0; 0.0; England; 3.0; 1.0; Midfielder; 6.2; 0.0; 0.0; 0.0; 6.0; 2.0; 0.0; 0.0; 2.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 1.0; 0.0; 0.0; false
334729; Bobby Lamont; Clark; 40; 2023; 19.0; 178.0; 0.0; England; 5.0; 86.0; Midfielder; 6.35; 1.0; 0.0; 0.0; 49.0; 9.0; 0.0; 0.0; 21.0; 5.0; 2.0; 1.0; 3.0; 0.0; 3.0; 4.0; 0.0; 0.0; false
542; Ryan Jiro; Gravenberch; 40; 2023; 22.0; 190.0; 83.0; Netherlands; 21.0; 903.0; Midfielder; 6.69; 12.0; 7.0; 0.0; 401.0; 15.0; 11.0; 0.0; 130.0; 59.0; 22.0; 13.0; 35.0; 15.0; 13.0; 16.0; 0.0; 0.0; false
6716; Alexis; Mac Allister; 40; 2023; 26.0; 176.0; 69.0; Argentina; 27.0; 2180.0; Midfielder; 7.303703; 21.0; 7.0; 4.0; 1621.0; 52.0; 37.0; 5.0; 327.0; 163.0; 82.0; 30.0; 28.0; 17.0; 40.0; 44.0; 6.0; 1.0; false
293; Curtis Julian; Jones; 40; 2023; 23.0; 185.0; 75.0; England; 20.0; 1082.0; Midfielder; 6.75; 11.0; 5.0; 1.0; 692.0; 31.0; 9.0; 1.0; 135.0; 61.0; 26.0; 7.0; 24.0; 14.0; 14.0; 13.0; 3.0; 1.0; false
1096; Dominik; Szoboszlai; 40; 2023; 24.0; 186.0; 74.0; Hungary; 27.0; 2011.0; Midfielder; 7.188888; 33.0; 13.0; 3.0; 1323.0; 42.0; 51.0; 2.0; 222.0; 94.0; 31.0; 14.0; 49.0; 23.0; 28.0; 27.0; 1.0; 0.0; false
19035; Harvey Daniel James; Elliott; 40; 2023; 21.0; 170.0; 64.0; England; 28.0; 891.0; Midfielder; 7.003571; 18.0; 11.0; 2.0; 597.0; 18.0; 23.0; 2.0; 82.0; 40.0; 18.0; 5.0; 12.0; 7.0; 8.0; 4.0; 1.0; 0.0; false
158698; Jarell; Amorin Quansah; 40; 2023; 21.0; 0.0; 0.0; England; 11.0; 712.0; Defender; 6.81; 3.0; 1.0; 0.0; 754.0; 60.0; 1.0; 0.0; 70.0; 44.0; 11.0; 9.0; 6.0; 3.0; 2.0; 7.0; 1.0; 0.0; false
180317; Conor; Bradley; 40; 2023; 21.0; 180.0; 64.0; Northern Ireland; 10.0; 741.0; Defender; 7.39; 8.0; 4.0; 1.0; 424.0; 33.0; 15.0; 3.0; 116.0; 67.0; 32.0; 9.0; 26.0; 13.0; 12.0; 7.0; 2.0; 0.0; false
8500; Wataru; Endo; 40; 2023; 31.0; 178.0; 76.0; Japan; 23.0; 1296.0; Midfielder; 6.768181; 5.0; 2.0; 1.0; 955.0; 36.0; 13.0; 0.0; 193.0; 87.0; 36.0; 15.0; 9.0; 5.0; 21.0; 35.0; 8.0; 0.0; false
507; Thiago; Alcântara do Nascimento; 40; 2023; 33.0; 174.0; 70.0; Spain; 1.0; 5.0; Midfielder; 6.3; 0.0; 0.0; 0.0; 10.0; 7.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
283; Trent John; Alexander-Arnold; 40; 2023; 26.0; 175.0; 72.0; England; 22.0; 1669.0; Defender; 7.304545; 20.0; 4.0; 2.0; 1286.0; 48.0; 54.0; 4.0; 148.0; 68.0; 28.0; 23.0; 43.0; 26.0; 6.0; 5.0; 5.0; 0.0; false
1600; Konstantinos; Tsimikas; 40; 2023; 28.0; 179.0; 77.0; Greece; 12.0; 670.0; Defender; 7.045454; 2.0; 0.0; 0.0; 357.0; 27.0; 16.0; 3.0; 76.0; 33.0; 19.0; 6.0; 14.0; 4.0; 7.0; 10.0; 0.0; 0.0; false
1145; Ibrahima; Konaté; 40; 2023; 25.0; 194.0; 95.0; France; 21.0; 1508.0; Defender; 7.166666; 10.0; 2.0; 0.0; 1376.0; 60.0; 8.0; 0.0; 191.0; 126.0; 34.0; 20.0; 7.0; 6.0; 13.0; 24.0; 4.0; 0.0; false
290; Virgil; van Dijk; 40; 2023; 33.0; 195.0; 92.0; Netherlands; 30.0; 2638.0; Defender; 7.426666; 27.0; 11.0; 2.0; 2380.0; 72.0; 10.0; 2.0; 220.0; 169.0; 36.0; 36.0; 2.0; 1.0; 10.0; 20.0; 2.0; 1.0; false
289; Andrew Henry; Robertson; 40; 2023; 30.0; 178.0; 64.0; Scotland; 18.0; 1274.0; Defender; 7.3; 5.0; 3.0; 1.0; 918.0; 44.0; 47.0; 2.0; 85.0; 46.0; 28.0; 10.0; 12.0; 4.0; 5.0; 8.0; 2.0; 0.0; false
281; Caoimhín Odhrán; Kelleher; 40; 2023; 26.0; 188.0; 74.0; Republic of Ireland; 10.0; 900.0; Goalkeeper; 6.96; 0.0; 0.0; 0.0; 387.0; 30.0; 1.0; 0.0; 4.0; 4.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
286; Job Joël André; Matip; 40; 2023; 33.0; 195.0; 90.0; Cameroon; 10.0; 783.0; Defender; 7.04; 4.0; 0.0; 0.0; 563.0; 49.0; 2.0; 0.0; 70.0; 43.0; 12.0; 9.0; 2.0; 0.0; 3.0; 7.0; 2.0; 0.0; false
280; Alisson Ramsés; Becker; 40; 2023; 32.0; 193.0; 91.0; Brazil; 22.0; 1980.0; Goalkeeper; 7.022727; 0.0; 0.0; 0.0; 827.0; 31.0; 1.0; 0.0; 12.0; 8.0; 0.0; 0.0; 0.0; 0.0; 4.0; 1.0; 1.0; 0.0; false
158693; Owen Michael; Beck; 40; 2023; 22.0; 0.0; 0.0; Wales; 1.0; 7.0; Defender; 6.7; 0.0; 0.0; 0.0; 4.0; 3.0; 0.0; 0.0; 3.0; 2.0; 2.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
380653; Leon; Chiwome; 39; 2023; 18.0; 0.0; 0.0; England; 3.0; 175.0; Attacker; 6.533333; 1.0; 0.0; 0.0; 22.0; 6.0; 0.0; 0.0; 17.0; 6.0; 2.0; 0.0; 0.0; 0.0; 2.0; 2.0; 0.0; 0.0; false
303019; Nathan John Mark; Fraser; 39; 2023; 19.0; 188.0; 82.0; Republic of Ireland; 6.0; 180.0; Attacker; 6.7; 3.0; 2.0; 0.0; 40.0; 5.0; 2.0; 0.0; 26.0; 10.0; 5.0; 1.0; 0.0; 0.0; 3.0; 5.0; 1.0; 0.0; false
1864; Pedro; Lomba Neto; 39; 2023; 24.0; 172.0; 62.0; Portugal; 19.0; 1508.0; Attacker; 7.252631; 27.0; 11.0; 2.0; 581.0; 25.0; 38.0; 9.0; 173.0; 68.0; 7.0; 4.0; 79.0; 37.0; 20.0; 15.0; 4.0; 0.0; false
24888; Hee-Chan; Hwang; 39; 2023; 28.0; 177.0; 77.0; Korea Republic; 23.0; 1655.0; Attacker; 7.021739; 29.0; 13.0; 10.0; 437.0; 14.0; 15.0; 3.0; 202.0; 82.0; 16.0; 8.0; 59.0; 32.0; 29.0; 25.0; 4.0; 0.0; false
1165; Matheus Santos; Carneiro da Cunha; 39; 2023; 25.0; 183.0; 76.0; Brazil; 27.0; 2099.0; Attacker; 7.266666; 53.0; 33.0; 11.0; 657.0; 19.0; 26.0; 6.0; 309.0; 139.0; 27.0; 13.0; 103.0; 55.0; 42.0; 21.0; 7.0; 0.0; false
171035; Tawanda Blessing; Chirewa; 39; 2023; 21.0; 0.0; 0.0; Zimbabwe; 5.0; 35.0; Midfielder; 6.475; 1.0; 0.0; 0.0; 15.0; 2.0; 1.0; 0.0; 9.0; 3.0; 3.0; 1.0; 1.0; 0.0; 0.0; 3.0; 1.0; 0.0; false
20665; Jean-Ricner; Bellegarde; 39; 2023; 26.0; 170.0; 70.0; France; 19.0; 806.0; Midfielder; 6.673684; 10.0; 5.0; 2.0; 250.0; 11.0; 11.0; 1.0; 123.0; 56.0; 15.0; 7.0; 31.0; 15.0; 20.0; 9.0; 0.0; 1.0; false
2056; Pablo; Sarabia García; 39; 2023; 32.0; 174.0; 70.0; Spain; 25.0; 1613.0; Midfielder; 7.236; 29.0; 16.0; 4.0; 759.0; 23.0; 50.0; 7.0; 153.0; 60.0; 17.0; 9.0; 35.0; 15.0; 22.0; 16.0; 3.0; 0.0; false
144732; Thomas Glyn; Doyle; 39; 2023; 23.0; 172.0; 73.0; England; 22.0; 1051.0; Midfielder; 6.881818; 12.0; 3.0; 0.0; 797.0; 31.0; 7.0; 0.0; 54.0; 28.0; 23.0; 12.0; 2.0; 1.0; 4.0; 9.0; 2.0; 0.0; false
195103; João Victor; Gomes da Silva; 39; 2023; 23.0; 176.0; 74.0; Brazil; 28.0; 2146.0; Midfielder; 6.896428; 12.0; 7.0; 2.0; 1015.0; 30.0; 15.0; 1.0; 332.0; 171.0; 106.0; 18.0; 35.0; 18.0; 29.0; 52.0; 9.0; 0.0; false
157912; Boubacar; Traoré; 39; 2023; 23.0; 183.0; 67.0; Mali; 18.0; 436.0; Midfielder; 6.522222; 4.0; 1.0; 0.0; 257.0; 11.0; 3.0; 0.0; 67.0; 25.0; 15.0; 4.0; 6.0; 4.0; 2.0; 15.0; 2.0; 0.0; false
41606; Tote António; Gomes; 39; 2023; 25.0; 187.0; 72.0; Portugal; 29.0; 2238.0; Defender; 6.824137; 6.0; 3.0; 0.0; 1406.0; 40.0; 4.0; 3.0; 173.0; 108.0; 40.0; 23.0; 22.0; 18.0; 9.0; 31.0; 5.0; 0.0; false
18744; Maximilian William; Kilman; 39; 2023; 27.0; 194.0; 89.0; England; 32.0; 2880.0; Defender; 6.98125; 11.0; 6.0; 2.0; 1887.0; 50.0; 14.0; 0.0; 221.0; 140.0; 41.0; 33.0; 9.0; 8.0; 15.0; 34.0; 6.0; 0.0; false
280687; Hugo; Bueno López; 39; 2023; 22.0; 180.0; 73.0; Spain; 18.0; 552.0; Defender; 6.6; 0.0; 0.0; 0.0; 278.0; 12.0; 5.0; 0.0; 83.0; 37.0; 19.0; 5.0; 18.0; 7.0; 4.0; 5.0; 1.0; 0.0; false
130; Nélson; Cabral Semedo; 39; 2023; 31.0; 177.0; 69.0; Portugal; 31.0; 2703.0; Defender; 6.835483; 9.0; 3.0; 0.0; 1282.0; 32.0; 23.0; 1.0; 296.0; 159.0; 67.0; 31.0; 70.0; 46.0; 26.0; 38.0; 9.0; 0.0; false
18947; Mario René Junior; Lemina; 39; 2023; 31.0; 184.0; 85.0; Gabon; 29.0; 2531.0; Midfielder; 7.086206; 29.0; 15.0; 4.0; 1142.0; 34.0; 15.0; 0.0; 268.0; 144.0; 76.0; 38.0; 34.0; 20.0; 18.0; 38.0; 10.0; 0.0; false
