id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
140947; Issa; Kaboré; 1359; 2023; 23.0; 180.0; 77.0; Burkina Faso; 23.0; 1699.0; Defender; 6.804347; 4.0; 1.0; 0.0; 529.0; 17.0; 15.0; 2.0; 206.0; 115.0; 51.0; 16.0; 36.0; 18.0; 30.0; 27.0; 7.0; 0.0; false
15632; Mads Juel; Andersen; 1359; 2023; 27.0; 194.0; 81.0; Denmark; 8.0; 398.0; Defender; 6.85; 3.0; 1.0; 1.0; 115.0; 10.0; 0.0; 0.0; 31.0; 19.0; 6.0; 8.0; 1.0; 0.0; 2.0; 6.0; 1.0; 0.0; false
20206; Gabriel Jeremiah; Adedayo Osho; 1359; 2023; 26.0; 185.0; 0.0; Nigeria; 16.0; 1398.0; Defender; 6.88125; 7.0; 2.0; 2.0; 519.0; 26.0; 1.0; 0.0; 140.0; 70.0; 31.0; 29.0; 10.0; 6.0; 7.0; 19.0; 3.0; 0.0; false
20203; Thomas Alun; Lockyer; 1359; 2023; 30.0; 185.0; 72.0; Wales; 14.0; 1173.0; Defender; 6.921428; 6.0; 1.0; 1.0; 418.0; 21.0; 3.0; 1.0; 112.0; 70.0; 25.0; 23.0; 6.0; 4.0; 10.0; 15.0; 4.0; 0.0; false
8471; Thomas; Kaminski; 1359; 2023; 32.0; 190.0; 78.0; Belgium; 33.0; 2970.0; Goalkeeper; 6.990909; 0.0; 0.0; 0.0; 1165.0; 19.0; 0.0; 0.0; 13.0; 9.0; 2.0; 0.0; 2.0; 2.0; 2.0; 0.0; 3.0; 0.0; false
18747; Ryan John; Giles; 1359; 2023; 24.0; 179.0; 72.0; England; 11.0; 500.0; Defender; 6.545454; 2.0; 2.0; 0.0; 128.0; 9.0; 5.0; 0.0; 28.0; 17.0; 8.0; 4.0; 7.0; 4.0; 2.0; 2.0; 0.0; 0.0; false
19354; Ezri; Konsa Ngoyo; 66; 2023; 27.0; 183.0; 77.0; England; 30.0; 2624.0; Defender; 7.026666; 12.0; 5.0; 1.0; 1734.0; 53.0; 8.0; 0.0; 181.0; 138.0; 41.0; 27.0; 23.0; 18.0; 55.0; 12.0; 5.0; 0.0; false
147; Philippe; Coutinho Correia; 66; 2023; 32.0; 172.0; 68.0; Brazil; 2.0; 24.0; Midfielder; 6.8; 3.0; 1.0; 0.0; 24.0; 10.0; 0.0; 0.0; 7.0; 5.0; 0.0; 0.0; 5.0; 4.0; 1.0; 0.0; 0.0; 0.0; false
13489; Jhon Jader; Durán Palacio; 66; 2023; 21.0; 185.0; 73.0; Colombia; 18.0; 332.0; Attacker; 6.6875; 12.0; 5.0; 3.0; 85.0; 3.0; 3.0; 0.0; 66.0; 29.0; 5.0; 1.0; 5.0; 2.0; 7.0; 10.0; 5.0; 0.0; false
19170; Morgan Elliot; Rogers; 66; 2023; 22.0; 0.0; 0.0; England; 8.0; 433.0; Attacker; 6.8; 5.0; 3.0; 1.0; 127.0; 13.0; 4.0; 1.0; 66.0; 33.0; 7.0; 2.0; 21.0; 14.0; 6.0; 10.0; 2.0; 0.0; false
